# Logfile created on 2026-09-01 00:04:13 -0400 by logger.rb/61378
2026-09-01 00:04:13 -0400: Memory Usage (417792K) : metal3_drw has 26 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417792K) : metal3_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417792K) : metal3_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417792K) : metal3_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (417792K) : metal3_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : metal3_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : nwell_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : nwell_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : nbulay_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418056K) : nbulay_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : nbulay_block has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : emwind_drw has 36 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : emwind_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : deepco_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : deepco_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418320K) : mim_drw has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : edgeseal_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : edgeseal_bound has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : substrate_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : substrate_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : dfpad_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418584K) : dfpad_pillar has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : dfpad_sbump has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : thickgateox_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : pldb_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : pwell_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : pwell_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (418848K) : pwell_block has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : ic_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : via3_drw has 184 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : metal4_drw has 24 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : metal4_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : metal4_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419112K) : metal4_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_nofill has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_text has 4 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419376K) : metal4_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : metal4_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : metal4_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : heattrans_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : heatres_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : pempoly_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419640K) : fbe_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419904K) : empoly_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419904K) : ldmos_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419904K) : pbiwind_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419904K) : digisub_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (419904K) : nodrc_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : text_drw has 72 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : via4_drw has 144 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : metal5_drw has 16 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : metal5_pin has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : metal5_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420168K) : metal5_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_nofill has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420432K) : metal5_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : metal5_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : metal5_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : radhard_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : memcap_drw has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : varicap_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420696K) : flash_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420960K) : intbondvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420960K) : intbondmet_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420960K) : devbondvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420960K) : devbondmet_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (420960K) : devtrench_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : redist_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : graphbot_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : graphtop_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : antvia1_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : antmetal2_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421224K) : graphcont_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421488K) : siwg_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421488K) : siwg_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421488K) : siwg_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421488K) : sigrating_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421488K) : singrating_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : graphpas_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : emwind3_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : emwihv3_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : redbulay_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : smos_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (421752K) : graphpad_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422016K) : polimide_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422016K) : polimide_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422016K) : recog_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422016K) : recog_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422016K) : recog_esd has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_diode has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_tsv has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_pillar has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_sbump has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422280K) : recog_otp has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : recog_pdiode has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : recog_mom has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : recog_pcm has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : colopen_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : graphmetal1_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : graphmetal1_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422544K) : graphmetal1_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmetal1_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmetal1_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmet1l_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmet1l_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmet1l_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (422808K) : graphmet1l_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : graphmet1l_opc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : extblock_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : nldd_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : pldd_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : next_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423072K) : pext_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423336K) : nexthv_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423336K) : pexthv_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423336K) : graphgate_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423336K) : sinwg_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423336K) : sinwg_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : sinwg_nofill has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : mempad_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : topvia1_drw has 13 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : topmetal1_drw has 10 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : topmetal1_pin has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : topmetal1_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423600K) : topmetal1_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_nofill has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_text has 1 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (423864K) : topmetal1_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : topmetal1_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : inldpwl_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : polyres_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : polyres_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : vmim_drw has 12 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424128K) : nbulaycut_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424392K) : antmetal1_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424392K) : topvia2_drw has 6 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424392K) : topmetal2_drw has 2 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424392K) : topmetal2_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424392K) : topmetal2_mask has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_filler has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_nofill has 3 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_slit has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_text has 2 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_noqrc has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424656K) : topmetal2_res has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : topmetal2_iprobe has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : topmetal2_diffprb has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : snsring_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : sensor_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : snsarms_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (424920K) : snscmosvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : colwind_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : flm_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : hafniumox_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : memvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : thinfilmres_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425184K) : rfmem_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_m2m3 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_m2m4 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_m2m5 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_m2tm1 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425448K) : norcx_m2tm2 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m3m4 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m3m5 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m3tm1 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m3tm2 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m4m5 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m4tm1 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425712K) : norcx_m4tm2 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m5tm1 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m5tm2 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_tm1tm2 has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m1sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m2sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m3sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (425976K) : norcx_m4sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : norcx_m5sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : norcx_tm1sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : norcx_tm2sub has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : snsbotvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : snstopvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426240K) : deepvia_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : fgetch_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : ctrgat_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : fgimp_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : emwihv_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : lbe_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : alcustop_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426504K) : nometfiller_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : prboundary_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange0_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange0_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange0_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange1_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange1_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (426768K) : exchange1_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange2_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange2_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange2_text has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange3_drw has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange3_pin has 0 polygons
2026-09-01 00:04:13 -0400: Memory Usage (427032K) : exchange3_text has 0 polygons
