f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
2.951209229999999795e-01,-6.000000007944095159e-08,1.723588999993808102e-03,-9.645471030999999584e+01,-9.050662339999999517e+01
3.019951719999999784e-01,-2.999999981767587087e-08,1.763861000000588319e-03,-9.625459734999999739e+01,-9.030565470000000516e+01
3.090295430000000176e-01,0.000000000000000000e+00,1.805187999991630932e-03,-9.605448930999999391e+01,-9.010472880000000373e+01
3.162277660000000212e-01,2.999999981767587087e-08,1.846522999983335467e-03,-9.585438618999999960e+01,-8.990384389999999826e+01
3.235936569999999790e-01,7.000000001866624189e-08,1.889919999996436673e-03,-9.565428780999999958e+01,-8.970299819999999613e+01
3.311311209999999727e-01,1.100000002196566129e-07,1.933530000002292581e-03,-9.545419382000000041e+01,-8.950219020000000114e+01
3.388441560000000075e-01,1.499999999765577741e-07,1.978587999985848001e-03,-9.525410400999999183e+01,-8.930141820000000052e+01
3.467368499999999854e-01,1.899999997334589352e-07,2.025411000005306050e-03,-9.505401838000000225e+01,-8.910068060000000401e+01
3.548133889999999790e-01,2.399999998736745965e-07,2.072386999998343526e-03,-9.485393665999998802e+01,-8.889997599999999522e+01
3.630780550000000106e-01,2.900000000138902578e-07,2.120972999989589880e-03,-9.465385874000000399e+01,-8.869930309999999452e+01
3.715352290000000224e-01,3.300000002148806288e-07,2.169688999998697909e-03,-9.445378432000001112e+01,-8.849866029999999739e+01
3.801893960000000128e-01,3.899999998502323706e-07,2.220112999992807090e-03,-9.425371336999999983e+01,-8.829804660000000638e+01
3.890451449999999811e-01,4.300000000512227416e-07,2.271882000002278801e-03,-9.405364577000000281e+01,-8.809746049999999684e+01
3.981071709999999819e-01,4.900000001306636932e-07,2.325688000013315104e-03,-9.385358125999999857e+01,-8.789690099999999973e+01
4.073802779999999846e-01,5.500000002101046448e-07,2.379275000009783980e-03,-9.365351983000000757e+01,-8.769636690000000101e+01
4.168693829999999823e-01,6.099999998454563865e-07,2.434440999991238641e-03,-9.345346121000000039e+01,-8.749585720000000322e+01
4.265795190000000181e-01,6.699999999248973381e-07,2.492036000006692120e-03,-9.325340547999999785e+01,-8.729537070000000654e+01
