f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
6.309573440000000311e-01,7.670000000015164687e-06,1.402439200001026620e-02,-7.824501840000000641e+01,-1.336240229999999940e+02
6.456542290000000239e-01,8.090000000127162139e-06,1.435119999999301399e-02,-7.804501161000000309e+01,-1.334105450000000133e+02
6.606934479999999610e-01,8.519999999734295670e-06,1.468576400000642934e-02,-7.784500536999999554e+01,-1.331939529999999934e+02
6.760829750000000304e-01,8.980000000047283493e-06,1.502797399999167283e-02,-7.764499994000000527e+01,-1.329742459999999937e+02
6.918309710000000168e-01,9.470000000177947186e-06,1.537788800001749223e-02,-7.744499514000000318e+01,-1.327514250000000118e+02
7.079457839999999669e-01,9.969999999803746960e-06,1.573573400000327638e-02,-7.724499097999999719e+01,-1.325254899999999907e+02
7.244359599999999899e-01,1.050000000013540102e-05,1.610292300000537580e-02,-7.704498746999999526e+01,-1.322964420000000132e+02
7.413102409999999809e-01,1.104999999990141646e-05,1.647805300001436990e-02,-7.684498456000000033e+01,-1.320642829999999890e+02
7.585775750000000039e-01,1.162999999992919697e-05,1.686191999999664404e-02,-7.664498233000000482e+01,-1.318290149999999983e+02
7.762471170000000420e-01,1.222999999983542807e-05,1.725452700000573714e-02,-7.644498071000001005e+01,-1.315906400000000076e+02
7.943282350000000491e-01,1.286999999994264954e-05,1.765608899998483139e-02,-7.624497981999999752e+01,-1.313491620000000069e+02
8.128305160000000029e-01,1.352999999992832159e-05,1.806704700001660058e-02,-7.604497947999999496e+01,-1.311045849999999859e+02
8.317637709999999851e-01,1.422000000017575871e-05,1.848807199999669137e-02,-7.584497978000000273e+01,-1.308569149999999865e+02
8.511380379999999857e-01,1.495000000018009700e-05,1.891907699999251236e-02,-7.564498069000001124e+01,-1.306061579999999935e+02
8.709635900000000097e-01,1.571999999994133645e-05,1.935922799998479604e-02,-7.544498228000000495e+01,-1.303523199999999918e+02
8.912509379999999926e-01,1.651999999996434099e-05,1.981094999999299944e-02,-7.524498438999999905e+01,-1.300954110000000128e+02
9.120108390000000176e-01,1.735000000024911060e-05,2.027194000001486529e-02,-7.504498726999999292e+01,-1.298354390000000080e+02
9.332543009999999528e-01,1.822000000029078137e-05,2.074417000000039479e-02,-7.484499073000000635e+01,-1.295724160000000040e+02
9.549925860000000322e-01,1.914000000002857860e-05,2.122692000000370172e-02,-7.464499477999999044e+01,-1.293063530000000014e+02
9.772372209999999892e-01,2.009999999996736619e-05,2.172174000000381966e-02,-7.444499961000001065e+01,-1.290372649999999908e+02
1.000000000000000000e+00,2.109999999966305495e-05,2.222753000000921020e-02,-7.424500499999999192e+01,-1.287651659999999936e+02
1.023292990000000069e+00,2.215999999988227387e-05,2.274549000000547494e-02,-7.404501111999999807e+01,-1.284900719999999978e+02
1.047128550000000047e+00,2.325999999985839395e-05,2.327514999998925305e-02,-7.384501793000001157e+01,-1.282120030000000099e+02
1.071519310000000003e+00,2.440000000003550440e-05,2.381739000000493434e-02,-7.364502547000000732e+01,-1.279309769999999986e+02
1.096478199999999958e+00,2.562000000017050638e-05,2.437147000000550179e-02,-7.344503375000000744e+01,-1.276470159999999936e+02
1.122018449999999889e+00,2.688000000006240953e-05,2.493997999999919557e-02,-7.324504270999999278e+01,-1.273601429999999937e+02
1.148153619999999986e+00,2.820000000003375362e-05,2.552091000001155408e-02,-7.304505245000000002e+01,-1.270703830000000067e+02
1.174897550000000068e+00,2.959000000002376396e-05,2.611464000000296437e-02,-7.284506294999999909e+01,-1.267777619999999956e+02
1.202264430000000051e+00,3.104000000009321525e-05,2.672296000000073946e-02,-7.264507429999999033e+01,-1.264823090000000008e+02
1.230268769999999900e+00,3.257000000012055807e-05,2.734507000002395216e-02,-7.244508644999999092e+01,-1.261840519999999941e+02
1.258925410000000022e+00,3.415999999978325263e-05,2.798260000000141190e-02,-7.224509946999999954e+01,-1.258830250000000035e+02
1.288249549999999966e+00,3.582000000035279186e-05,2.863361999999369800e-02,-7.204511327999999537e+01,-1.255792579999999958e+02
1.318256740000000038e+00,3.757000000037535870e-05,2.930066999999780819e-02,-7.184512812999999198e+01,-1.252727880000000056e+02
1.348962879999999975e+00,3.938999999997250256e-05,2.998372999999787680e-02,-7.164514382000000126e+01,-1.249636500000000012e+02
