f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc,cm_dm_db
9.549925860000000322e-01,6.270000000085929059e-06,5.494010000006710470e-03,-8.638465790000000766e+01,-1.073896189999999962e+02
9.772372209999999892e-01,6.619999999735171059e-06,5.622560000006160408e-03,-8.618465305999998805e+01,-1.071894240000000025e+02
1.000000000000000000e+00,6.980000000211816769e-06,5.753010000006497648e-03,-8.598464938000000757e+01,-1.069892380000000003e+02
1.023292990000000069e+00,7.359999999678734639e-06,5.887050000012550299e-03,-8.578464675000000739e+01,-1.067890620000000013e+02
1.047128550000000047e+00,7.749999999973056219e-06,6.024719999999206266e-03,-8.558464535000000240e+01,-1.065888960000000054e+02
1.071519310000000003e+00,8.160000000145828380e-06,6.164380000001301596e-03,-8.538464503999999522e+01,-1.063887380000000036e+02
1.096478199999999958e+00,8.589999999752961912e-06,6.307740000011108350e-03,-8.518464586999999710e+01,-1.061885889999999932e+02
1.122018449999999889e+00,9.050000000065949735e-06,6.454880000006824048e-03,-8.498464787000000342e+01,-1.059884480000000053e+02
1.148153619999999986e+00,9.509999999934848347e-06,6.605219999983091839e-03,-8.478465098000000921e+01,-1.057883149999999972e+02
1.174897550000000068e+00,1.001000000000473733e-05,6.759599999980991925e-03,-8.458465529999999433e+01,-1.055881899999999973e+02
1.202264430000000051e+00,1.052999999995307689e-05,6.916220000022121894e-03,-8.438466072999999312e+01,-1.053880719999999940e+02
1.230268769999999900e+00,1.106999999977986704e-05,7.077719999983855814e-03,-8.418466725000000395e+01,-1.051879619999999989e+02
1.258925410000000022e+00,1.163999999986842226e-05,7.242129999980306820e-03,-8.398467503000000534e+01,-1.049878580000000028e+02
1.288249549999999966e+00,1.223999999977465336e-05,7.410929999991822115e-03,-8.378468403000000819e+01,-1.047877610000000033e+02
1.318256740000000038e+00,1.286000000000342425e-05,7.584040000011782467e-03,-8.358469417999999962e+01,-1.045876700000000028e+02
1.348962879999999975e+00,1.351999999998909630e-05,7.760859999990543656e-03,-8.338470551999999714e+01,-1.043875859999999989e+02
1.380384260000000030e+00,1.418999999991399363e-05,7.941230000000132350e-03,-8.318471816999999646e+01,-1.041875079999999940e+02
1.412537539999999980e+00,1.490999999997910663e-05,8.126520000018899736e-03,-8.298473212000000387e+01,-1.039874360000000024e+02
1.445439769999999902e+00,1.566000000030598471e-05,8.315559999999777574e-03,-8.278474736000001144e+01,-1.037873689999999982e+02
1.479108389999999940e+00,1.644999999994567474e-05,8.508719999980485227e-03,-8.258476396000000364e+01,-1.035873090000000047e+02
1.513561249999999969e+00,1.727000000029121907e-05,8.706910000000789296e-03,-8.238478188999999929e+01,-1.033872539999999987e+02
1.548816619999999977e+00,1.812999999994957534e-05,8.909579999993866295e-03,-8.218480128000000207e+01,-1.031872039999999942e+02
1.584893190000000063e+00,1.904000000019223648e-05,9.117730000014034886e-03,-8.198482205999999906e+01,-1.029871590000000054e+02
1.621810100000000032e+00,1.997000000031334821e-05,9.329960000002301967e-03,-8.178484434000000647e+01,-1.027871200000000016e+02
1.659586910000000026e+00,2.096000000006981168e-05,9.546449999987771662e-03,-8.158486822000000416e+01,-1.025870859999999993e+02
1.698243649999999993e+00,2.199999999996649080e-05,9.769000000005689799e-03,-8.138489357999999640e+01,-1.023870569999999987e+02
1.737800830000000074e+00,2.308000000006416030e-05,9.997020000014344987e-03,-8.118492068999999844e+01,-1.021870329999999996e+02
1.778279409999999894e+00,2.421000000030204546e-05,1.022958999999445950e-02,-8.098494938000000332e+01,-1.019870140000000021e+02
1.819700859999999976e+00,2.540000000017528237e-05,1.046743000000560642e-02,-8.078497987999999452e+01,-1.017869989999999945e+02
1.862087140000000085e+00,2.663999999974464572e-05,1.071096000001148241e-02,-8.058501219999999421e+01,-1.015869900000000001e+02
1.905460719999999997e+00,2.794000000028162845e-05,1.096028000000615066e-02,-8.038504634000000237e+01,-1.013869849999999957e+02
1.949844600000000039e+00,2.930999999994909899e-05,1.121620000000689288e-02,-8.018508246999999756e+01,-1.011869850000000071e+02
1.995262309999999983e+00,3.074000000014009970e-05,1.147728000000824977e-02,-7.998512053000000321e+01,-1.009869900000000058e+02
2.041737939999999973e+00,3.222999999996645215e-05,1.174383000000034372e-02,-7.978516075000000285e+01,-1.007870000000000061e+02
2.089296130000000140e+00,3.380000000019478534e-05,1.201790999999730047e-02,-7.958520304000001033e+01,-1.005870139999999964e+02
2.137962089999999815e+00,3.543000000005847028e-05,1.229741000000217355e-02,-7.938524759999999958e+01,-1.003870339999999999e+02
2.187761619999999851e+00,3.715999999975849732e-05,1.258398999999599255e-02,-7.918529457000001059e+01,-1.001870579999999933e+02
2.238721139999999998e+00,3.894999999998205453e-05,1.287615999999047744e-02,-7.898534389999998950e+01,-9.998708659999999782e+01
