f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.737800830000000019e-01,8.308362949999999358e+00,2.330487800000000220e+00,-2.801157320000000084e+01,-2.912262409999999946e+01,-3.626927520000000271e+01
1.778279409999999894e-01,8.311162259999999691e+00,2.333313690000000218e+00,-2.800987830000000045e+01,-2.912172869999999847e+01,-3.626931280000000157e+01
1.819700860000000031e-01,8.313844530000000788e+00,2.336021500000000195e+00,-2.800821600000000089e+01,-2.912085649999999859e+01,-3.626926220000000001e+01
1.862087139999999974e-01,8.316414249999999342e+00,2.338615789999999972e+00,-2.800658340000000024e+01,-2.912000600000000006e+01,-3.626912180000000063e+01
1.905460720000000108e-01,8.318875800000000709e+00,2.341100940000000019e+00,-2.800497760000000014e+01,-2.911917559999999838e+01,-3.626888970000000256e+01
1.949844599999999983e-01,8.321233400000000557e+00,2.343481230000000082e+00,-2.800339560000000105e+01,-2.911836399999999969e+01,-3.626856420000000014e+01
1.995262309999999983e-01,8.323491110000000859e+00,2.345760770000000051e+00,-2.800183459999999869e+01,-2.911756970000000067e+01,-3.626814329999999842e+01
2.041737939999999918e-01,8.325652899999999690e+00,2.347943540000000162e+00,-2.800029169999999823e+01,-2.911679120000000154e+01,-3.626762490000000128e+01
2.089296129999999863e-01,8.327722579999999653e+00,2.350033400000000050e+00,-2.799876409999999893e+01,-2.911602710000000016e+01,-3.626700710000000072e+01
2.137962089999999871e-01,8.329703829999999698e+00,2.352034059999999815e+00,-2.799724880000000127e+01,-2.911527609999999910e+01,-3.626628740000000306e+01
2.187761619999999962e-01,8.331600200000000456e+00,2.353949109999999845e+00,-2.799574300000000093e+01,-2.911453669999999860e+01,-3.626546359999999680e+01
2.238721140000000109e-01,8.333415119999999732e+00,2.355782009999999982e+00,-2.799424379999999957e+01,-2.911380760000000123e+01,-3.626453320000000247e+01
2.290867649999999978e-01,8.335151890000000563e+00,2.357536109999999852e+00,-2.799274820000000119e+01,-2.911308730000000011e+01,-3.626349340000000154e+01
2.344228819999999991e-01,8.336813709999999489e+00,2.359214600000000051e+00,-2.799125349999999912e+01,-2.911237450000000138e+01,-3.626234149999999801e+01
2.398832919999999980e-01,8.338403630000000177e+00,2.360820599999999825e+00,-2.798975670000000093e+01,-2.911166790000000049e+01,-3.626107449999999943e+01
2.454708919999999961e-01,8.339924619999999678e+00,2.362357080000000220e+00,-2.798825479999999999e+01,-2.911096609999999885e+01,-3.625968919999999684e+01
2.511886429999999892e-01,8.341379509999999442e+00,2.363826930000000104e+00,-2.798674480000000031e+01,-2.911026760000000024e+01,-3.625818220000000025e+01
2.570395779999999908e-01,8.342771049999999633e+00,2.365232890000000143e+00,-2.798522390000000115e+01,-2.910957110000000014e+01,-3.625654999999999717e+01
2.630267989999999778e-01,8.344101849999999487e+00,2.366577630000000099e+00,-2.798368879999999947e+01,-2.910887539999999873e+01,-3.625478880000000004e+01
2.691534800000000005e-01,8.345374460000000383e+00,2.367863709999999955e+00,-2.798213660000000047e+01,-2.910817880000000102e+01,-3.625289469999999881e+01
2.754228699999999863e-01,8.346591300000000047e+00,2.369093579999999921e+00,-2.798056400000000110e+01,-2.910748020000000125e+01,-3.625086329999999890e+01
2.818382930000000175e-01,8.347754699999999417e+00,2.370269589999999926e+00,-2.797896799999999828e+01,-2.910677799999999849e+01,-3.624869019999999864e+01
2.884031499999999970e-01,8.348866920000000746e+00,2.371394029999999820e+00,-2.797734529999999964e+01,-2.910607080000000124e+01,-3.624637080000000111e+01
2.951209229999999795e-01,8.349930099999999911e+00,2.372469059999999796e+00,-2.797569259999999858e+01,-2.910535730000000143e+01,-3.624390009999999762e+01
3.019951719999999784e-01,8.350946309999999428e+00,2.373496770000000033e+00,-2.797400659999999917e+01,-2.910463599999999929e+01,-3.624127279999999729e+01
3.090295430000000176e-01,8.351917529999999701e+00,2.374479179999999801e+00,-2.797228369999999842e+01,-2.910390539999999859e+01,-3.623848329999999862e+01
3.162277660000000212e-01,8.352845670000000666e+00,2.375418199999999924e+00,-2.797052049999999923e+01,-2.910316389999999842e+01,-3.623552589999999896e+01
3.235936569999999790e-01,8.353732550000000145e+00,2.376315690000000203e+00,-2.796871330000000100e+01,-2.910241020000000134e+01,-3.623239449999999806e+01
3.311311209999999727e-01,8.354579929999999877e+00,2.377173400000000214e+00,-2.796685850000000073e+01,-2.910164260000000169e+01,-3.622908249999999697e+01
3.388441560000000075e-01,8.355389470000000429e+00,2.377993050000000164e+00,-2.796495219999999904e+01,-2.910085959999999972e+01,-3.622558329999999671e+01
3.467368499999999854e-01,8.356162790000000840e+00,2.378776259999999976e+00,-2.796299060000000125e+01,-2.910005950000000041e+01,-3.622188969999999841e+01
3.548133889999999790e-01,8.356901430000000630e+00,2.379524589999999939e+00,-2.796096950000000092e+01,-2.909924060000000168e+01,-3.621799419999999969e+01
3.630780550000000106e-01,8.357606860000000637e+00,2.380239529999999881e+00,-2.795888499999999866e+01,-2.909840140000000019e+01,-3.621388900000000177e+01
3.715352290000000224e-01,8.358280490000000285e+00,2.380922509999999992e+00,-2.795673259999999871e+01,-2.909753999999999863e+01,-3.620956590000000119e+01
3.801893960000000128e-01,8.358923680000000189e+00,2.381574909999999878e+00,-2.795450789999999941e+01,-2.909665469999999843e+01,-3.620501629999999693e+01
3.890451449999999811e-01,8.359537720000000505e+00,2.382198040000000017e+00,-2.795220640000000145e+01,-2.909574359999999871e+01,-3.620023119999999750e+01
3.981071709999999819e-01,8.360123859999999851e+00,2.382793159999999855e+00,-2.794982339999999965e+01,-2.909480479999999858e+01,-3.619520109999999846e+01
4.073802779999999846e-01,8.360683260000000061e+00,2.383361470000000093e+00,-2.794735400000000070e+01,-2.909383640000000071e+01,-3.618991609999999781e+01
4.168693829999999823e-01,8.361217079999999413e+00,2.383904119999999960e+00,-2.794479309999999828e+01,-2.909283629999999832e+01,-3.618436599999999714e+01
4.265795190000000181e-01,8.361726389999999398e+00,2.384422219999999815e+00,-2.794213549999999913e+01,-2.909180250000000001e+01,-3.617853989999999698e+01
4.365158319999999925e-01,8.362212230000000801e+00,2.384916809999999998e+00,-2.793937580000000054e+01,-2.909073280000000139e+01,-3.617242660000000143e+01
4.466835920000000182e-01,8.362675579999999442e+00,2.385388910000000084e+00,-2.793650829999999985e+01,-2.908962500000000162e+01,-3.616601419999999933e+01
4.570881900000000053e-01,8.363117400000000146e+00,2.385839480000000012e+00,-2.793352720000000033e+01,-2.908847679999999869e+01,-3.615929059999999851e+01
4.677351410000000209e-01,8.363538589999999218e+00,2.386269439999999964e+00,-2.793042640000000176e+01,-2.908728580000000008e+01,-3.615224280000000334e+01
4.786300920000000070e-01,8.363940010000000314e+00,2.386679679999999859e+00,-2.792719969999999918e+01,-2.908604940000000028e+01,-3.614485760000000170e+01
4.897788189999999764e-01,8.364322480000000226e+00,2.387071029999999983e+00,-2.792384039999999956e+01,-2.908476530000000082e+01,-3.613712100000000049e+01
5.011872339999999815e-01,8.364686790000000371e+00,2.387444299999999853e+00,-2.792034190000000038e+01,-2.908343049999999863e+01,-3.612901850000000081e+01
5.128613840000000312e-01,8.365033690000000632e+00,2.387800250000000180e+00,-2.791669699999999921e+01,-2.908204250000000002e+01,-3.612053499999999673e+01
5.248074600000000034e-01,8.365363889999999358e+00,2.388139629999999958e+00,-2.791289839999999955e+01,-2.908059829999999835e+01,-3.611165489999999778e+01
5.370317959999999502e-01,8.365678069999999522e+00,2.388463119999999940e+00,-2.790893850000000143e+01,-2.907909480000000002e+01,-3.610236170000000300e+01
5.495408739999999570e-01,8.365976890000000665e+00,2.388771409999999928e+00,-2.790480940000000132e+01,-2.907752909999999957e+01,-3.609263849999999962e+01
5.623413250000000030e-01,8.366260959999999969e+00,2.389065110000000214e+00,-2.790050270000000054e+01,-2.907589779999999990e+01,-3.608246760000000108e+01
5.754399369999999569e-01,8.366530859999999237e+00,2.389344860000000015e+00,-2.789601000000000042e+01,-2.907419750000000036e+01,-3.607183080000000075e+01
5.888436550000000214e-01,8.366787159999999446e+00,2.389611209999999986e+00,-2.789132229999999879e+01,-2.907242480000000029e+01,-3.606070909999999685e+01
6.025595860000000359e-01,8.367030390000000040e+00,2.389864740000000154e+00,-2.788643030000000067e+01,-2.907057599999999908e+01,-3.604908259999999842e+01
6.165950019999999476e-01,8.367261049999999756e+00,2.390105950000000146e+00,-2.788132440000000045e+01,-2.906864720000000091e+01,-3.603693100000000271e+01
6.309573440000000311e-01,8.367479630000000057e+00,2.390335359999999909e+00,-2.787599450000000090e+01,-2.906663449999999926e+01,-3.602423300000000239e+01
6.456542290000000239e-01,8.367686570000000046e+00,2.390553440000000140e+00,-2.787043020000000126e+01,-2.906453379999999953e+01,-3.601096679999999850e+01
6.606934479999999610e-01,8.367882310000000601e+00,2.390760649999999821e+00,-2.786462059999999852e+01,-2.906234059999999886e+01,-3.599710970000000287e+01
6.760829750000000304e-01,8.368067249999999291e+00,2.390957409999999950e+00,-2.785855439999999916e+01,-2.906005060000000029e+01,-3.598263810000000262e+01
6.918309710000000168e-01,8.368241779999999963e+00,2.391144140000000196e+00,-2.785221990000000147e+01,-2.905765900000000101e+01,-3.596752790000000033e+01
7.079457839999999669e-01,8.368406260000000429e+00,2.391321220000000025e+00,-2.784560490000000144e+01,-2.905516090000000062e+01,-3.595175389999999993e+01
7.244359599999999899e-01,8.368561039999999451e+00,2.391489029999999794e+00,-2.783869669999999985e+01,-2.905255119999999991e+01,-3.593529029999999835e+01
7.413102409999999809e-01,8.368706440000000413e+00,2.391647920000000038e+00,-2.783148200000000116e+01,-2.904982460000000088e+01,-3.591811040000000332e+01
7.585775750000000039e-01,8.368842759999999714e+00,2.391798220000000086e+00,-2.782394719999999921e+01,-2.904697559999999967e+01,-3.590018680000000018e+01
7.762471170000000420e-01,8.368970279999999207e+00,2.391940239999999829e+00,-2.781607809999999859e+01,-2.904399820000000076e+01,-3.588149109999999808e+01
7.943282350000000491e-01,8.369089289999999792e+00,2.392074280000000108e+00,-2.780785979999999924e+01,-2.904088660000000033e+01,-3.586199419999999805e+01
8.128305160000000029e-01,8.369200010000000134e+00,2.392200620000000111e+00,-2.779927700000000002e+01,-2.903763440000000173e+01,-3.584166629999999998e+01
8.317637709999999851e-01,8.369302689999999600e+00,2.392319529999999972e+00,-2.779031369999999868e+01,-2.903423499999999891e+01,-3.582047639999999689e+01
8.511380379999999857e-01,8.369397539999999580e+00,2.392431250000000009e+00,-2.778095340000000135e+01,-2.903068160000000120e+01,-3.579839319999999958e+01
8.709635900000000097e-01,8.369484760000000634e+00,2.392536020000000097e+00,-2.777117889999999889e+01,-2.902696699999999908e+01,-3.577538419999999775e+01
8.912509379999999926e-01,8.369564529999999891e+00,2.392634059999999785e+00,-2.776097239999999999e+01,-2.902308379999999843e+01,-3.575141630000000248e+01
9.120108390000000176e-01,8.369637009999999933e+00,2.392725580000000019e+00,-2.775031540000000163e+01,-2.901902420000000049e+01,-3.572645560000000131e+01
9.332543009999999528e-01,8.369702370000000613e+00,2.392810770000000087e+00,-2.773918889999999848e+01,-2.901478020000000058e+01,-3.570046750000000202e+01
9.549925860000000322e-01,8.369760729999999427e+00,2.392889799999999845e+00,-2.772757289999999841e+01,-2.901034320000000122e+01,-3.567341660000000303e+01
9.772372209999999892e-01,8.369812230000000852e+00,2.392962840000000035e+00,-2.771544709999999867e+01,-2.900570450000000022e+01,-3.564526680000000169e+01
1.000000000000000000e+00,8.369856959999999901e+00,2.393030050000000131e+00,-2.770279000000000025e+01,-2.900085490000000021e+01,-3.561598149999999663e+01
1.023292990000000069e+00,8.369895019999999519e+00,2.393091570000000168e+00,-2.768957989999999825e+01,-2.899578490000000031e+01,-3.558552329999999841e+01
1.047128550000000047e+00,8.369926489999999220e+00,2.393147529999999801e+00,-2.767579389999999862e+01,-2.899048450000000088e+01,-3.555385420000000352e+01
1.071519310000000003e+00,8.369951439999999465e+00,2.393198040000000137e+00,-2.766140860000000146e+01,-2.898494330000000119e+01,-3.552093579999999662e+01
